epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/stenosis,val/F1,val/ema_mAP_30,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_30,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
8,1899,,,,,,,,,,,,,,,,,,,9.999868780141696e-05,9.999868780141696e-05,3.232521748941508e-06,,,,,,,,,,,,,,
8,1949,,,,,,,,,,,,,,,,,,,9.999635949498042e-05,9.999635949498042e-05,3.2324464882549364e-06,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,,,,,,9.9992859759368e-05,9.9992859759368e-05,3.232333483538241e-06,,,,,,,,,,,,,,
8,2049,,,,,,,,,,,,,,,,,,,9.998820314649493e-05,9.998820314649493e-05,3.2321827347914223e-06,,,,,,,,,,,,,,
8,2051,,,,,,,,,,,,,,,,,,,,,,0.04926097020506859,0.28038278222084045,0.3567121922969818,0.21709750592708588,0.057137683033943176,0.23333333432674408,8.636487007141113,0.3551061749458313,0.196716770529747,0.04926097020506859,0.005235288757830858,0.20725677907466888,0.35047847032546997,0.23365230858325958
8,2051,3858.461181640625,3851.498291015625,3868.394287109375,3869.98388671875,0.001054102904163301,7.520062446594238,0.03862128406763077,0.03838563337922096,0.038499314337968826,0.03987021744251251,0.8754899501800537,0.9162116646766663,0.885964572429657,0.9245810508728027,0.3948236405849457,0.38739797472953796,0.3923141658306122,0.39593052864074707,,,,,,,,,,,,,,,,,
9,2099,,,,,,,,,,,,,,,,,,,9.998237510444596e-05,9.998237510444596e-05,3.2319944693881553e-06,,,,,,,,,,,,,,
9,2149,,,,,,,,,,,,,,,,,,,9.997539018513635e-05,9.997539018513635e-05,3.2317684599547647e-06,,,,,,,,,,,,,,
9,2199,,,,,,,,,,,,,,,,,,,9.996723383665085e-05,9.996723383665085e-05,3.231504933864926e-06,,,,,,,,,,,,,,
9,2249,,,,,,,,,,,,,,,,,,,9.995791333494708e-05,9.995791333494708e-05,3.2312036637449637e-06,,,,,,,,,,,,,,
9,2279,,,,,,,,,,,,,,,,,,,,,,0.054336387664079666,0.2953818142414093,0.3729664087295532,0.2218533754348755,0.06176486983895302,0.21834130585193634,8.504554748535156,0.3735145330429077,0.20625130832195282,0.054336387664079666,0.005559205077588558,0.21419458091259003,0.3461950719356537,0.25757575035095215
9,2279,3865.019775390625,3849.520751953125,3869.300537109375,3868.70166015625,0.004217047244310379,7.403180122375488,0.038485635071992874,0.03843686729669571,0.03864995390176773,0.03918376564979553,0.8518508076667786,0.8913025856018066,0.8599725961685181,0.9157633781433105,0.39027267694473267,0.385678231716156,0.3899003863334656,0.3894032835960388,,,,,,,,,,,,,,,,,
10,2299,,,,,,,,,,,,,,,,,,,9.994742868002504e-05,9.994742868002504e-05,3.2308648769685533e-06,,,,,,,,,,,,,,
10,2349,,,,,,,,,,,,,,,,,,,9.993577987188473e-05,9.993577987188473e-05,3.2304883461620193e-06,,,,,,,,,,,,,,
10,2399,,,,,,,,,,,,,,,,,,,9.992297418648377e-05,9.992297418648377e-05,3.230074298699037e-06,,,,,,,,,,,,,,
10,2449,,,,,,,,,,,,,,,,,,,9.990899707190692e-05,9.990899707190692e-05,3.2296225072059315e-06,,,,,,,,,,,,,,
10,2499,,,,,,,,,,,,,,,,,,,9.989386308006942e-05,9.989386308006942e-05,3.2291331990563776e-06,,,,,,,,,,,,,,
10,2507,,,,,,,,,,,,,,,,,,,,,,0.05050293356180191,0.2864246666431427,0.36327993869781494,0.22762341797351837,0.06600265204906464,0.23301436007022858,8.705190658569336,0.3552980124950409,0.198903888463974,0.05050293356180191,0.0034889772068709135,0.225199356675148,0.3804491460323334,0.22966507077217102
10,2507,3850.45263671875,3866.9326171875,3852.456298828125,3861.007568359375,-1.798596258595353e-07,7.216151237487793,0.036736536771059036,0.03706081211566925,0.03694308176636696,0.03741271421313286,0.8341888785362244,0.8739520311355591,0.8429552912712097,0.912334680557251,0.37727776169776917,0.3751639425754547,0.37721094489097595,0.3763262629508972,,,,,,,,,,,,,,,,,
11,2549,,,,,,,,,,,,,,,,,,,9.987755765905604e-05,9.987755765905604e-05,3.2286061468767002e-06,,,,,,,,,,,,,,
11,2599,,,,,,,,,,,,,,,,,,,9.9860095360782e-05,9.9860095360782e-05,3.22804180541425e-06,,,,,,,,,,,,,,
11,2649,,,,,,,,,,,,,,,,,,,9.984146890928969e-05,9.984146890928969e-05,3.2274397199216764e-06,,,,,,,,,,,,,,
11,2699,,,,,,,,,,,,,,,,,,,9.982168558053672e-05,9.982168558053672e-05,3.2268001177726546e-06,,,,,,,,,,,,,,
11,2735,,,,,,,,,,,,,,,,,,,,,,0.062302518635988235,0.3075547516345978,0.3644011318683624,0.21331395208835602,0.060250069946050644,0.24409888684749603,8.570252418518066,0.38788869976997375,0.22133155167102814,0.062302518635988235,0.007806259673088789,0.25406697392463684,0.3499491214752197,0.27432218194007874
11,2735,3836.79248046875,3872.7001953125,3842.583251953125,3861.1787109375,0.0007026739185675979,7.139981269836426,0.03698829561471939,0.03717861697077751,0.03705788776278496,0.03707604110240936,0.8113457560539246,0.8474356532096863,0.8210445046424866,0.8981629014015198,0.37896132469177246,0.37781867384910583,0.3782218396663666,0.3752400279045105,,,,,,,,,,,,,,,,,
12,2749,,,,,,,,,,,,,,,,,,,9.980073809856549e-05,9.980073809856549e-05,3.2261229989671847e-06,,,,,,,,,,,,,,
12,2799,,,,,,,,,,,,,,,,,,,9.97786337393336e-05,9.97786337393336e-05,3.2254083635052666e-06,,,,,,,,,,,,,,
12,2849,,,,,,,,,,,,,,,,,,,9.975536522688344e-05,9.975536522688344e-05,3.2246562113869004e-06,,,,,,,,,,,,,,
12,2899,,,,,,,,,,,,,,,,,,,9.973093983717263e-05,9.973093983717263e-05,3.223866542612086e-06,,,,,,,,,,,,,,
12,2949,,,,,,,,,,,,,,,,,,,9.970535029424354e-05,9.970535029424354e-05,3.223039584554499e-06,,,,,,,,,,,,,,
12,2963,,,,,,,,,,,,,,,,,,,,,,0.046052198857069016,0.26234132051467896,0.34335026144981384,0.19955402612686157,0.05729382485151291,0.2519138753414154,8.537314414978027,0.31280717253685,0.17279179394245148,0.046052198857069016,0.009639735333621502,0.23676235973834991,0.3195876181125641,0.22248804569244385
12,2963,3812.440673828125,3870.069091796875,3800.966552734375,3845.269775390625,-2.133218828248573e-07,6.994449138641357,0.03547614812850952,0.03589034825563431,0.03581684082746506,0.03553226590156555,0.8006746172904968,0.8358237743377686,0.807668924331665,0.8962396383285522,0.3684648871421814,0.36856716871261597,0.36911988258361816,0.3640803396701813,,,,,,,,,,,,,,,,,
13,2999,,,,,,,,,,,,,,,,,,,9.967861115001142e-05,9.967861115001142e-05,3.222175109840464e-06,,,,,,,,,,,,,,
13,3049,,,,,,,,,,,,,,,,,,,9.965070785256103e-05,9.965070785256103e-05,3.2212731184699805e-06,,,,,,,,,,,,,,
13,3099,,,,,,,,,,,,,,,,,,,9.962164767784998e-05,9.962164767784998e-05,3.2203338378167246e-06,,,,,,,,,,,,,,
