epoch,step,test/AP/stenosis,test/F1,test/loss,test/mAP_30,test/mAP_50,test/mAP_50_95,test/mAP_75,test/mAR,test/precision,test/recall,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/stenosis,val/F1,val/ema_mAP_30,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_30,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
6,1595,,,,,,,,,,,3853.748291015625,3809.93359375,3871.44287109375,3861.84326171875,3858.611328125,0.002108373213559389,9.675230979919434,0.038908857852220535,0.037604786455631256,0.03844975680112839,0.03905480355024338,0.03995537757873535,0.9267600178718567,0.9978415966033936,0.9601463079452515,0.9347239136695862,0.9826162457466125,0.3960316777229309,0.3763056695461273,0.3883216381072998,0.3953259587287903,0.3956550657749176,,,,,,,,,,,,,,,,,
7,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76644771778956e-05,8.76644771778956e-05,2.833810412994353e-06,,,,,,,,,,,,,,
7,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.040570148499683e-05,9.040570148499683e-05,2.922422254414414e-06,,,,,,,,,,,,,,
7,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.314693306805566e-05,9.314693306805566e-05,3.0110343232081505e-06,,,,,,,,,,,,,,
7,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.588815737515688e-05,9.588815737515688e-05,3.0996461646282114e-06,,,,,,,,,,,,,,
7,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.862938895821571e-05,9.862938895821571e-05,3.188258233421948e-06,,,,,,,,,,,,,,
7,1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05151364952325821,0.2709541320800781,0.3582490086555481,0.19994798302650452,0.05201876536011696,0.258931428194046,10.93564224243164,0.31423133611679077,0.18920959532260895,0.05151364952325821,0.011964318342506886,0.2348484843969345,0.3996889591217041,0.2049441784620285
7,1823,,,,,,,,,,,3841.317138671875,3809.266357421875,3864.1513671875,3857.07958984375,3865.41259765625,0.0094886664301157,9.458205223083496,0.03852399066090584,0.03720785304903984,0.03848963603377342,0.03881770744919777,0.03882325068116188,0.8894051909446716,0.9686145186424255,0.9147205948829651,0.8942669034004211,0.9669743180274963,0.39193323254585266,0.3720202147960663,0.38939833641052246,0.39284998178482056,0.3862503468990326,,,,,,,,,,,,,,,,,
8,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999985195463523e-05,9.999985195463523e-05,3.2325594929716317e-06,,,,,,,,,,,,,,
8,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999868780141696e-05,9.999868780141696e-05,3.232521748941508e-06,,,,,,,,,,,,,,
8,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999635949498042e-05,9.999635949498042e-05,3.2324464882549364e-06,,,,,,,,,,,,,,
8,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9992859759368e-05,9.9992859759368e-05,3.232333483538241e-06,,,,,,,,,,,,,,
8,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.998820314649493e-05,9.998820314649493e-05,3.2321827347914223e-06,,,,,,,,,,,,,,
8,2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05558563023805618,0.30375781655311584,0.3626485764980316,0.21445149183273315,0.059946563094854355,0.2542264759540558,10.61014175415039,0.36493736505508423,0.22605501115322113,0.05558563023805618,0.011021384038031101,0.2464114874601364,0.43957704305648804,0.23205742239952087
8,2051,,,,,,,,,,,3841.874755859375,3828.4501953125,3854.17919921875,3860.74609375,3876.0439453125,0.007379996124655008,9.216771125793457,0.03700299933552742,0.03648851811885834,0.03715502470731735,0.037226758897304535,0.03722791001200676,0.8698762655258179,0.9414234757423401,0.8920382261276245,0.8770382404327393,0.9610275030136108,0.3785053491592407,0.36669161915779114,0.3776205778121948,0.3788294196128845,0.3732824921607971,,,,,,,,,,,,,,,,,
9,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.998237510444596e-05,9.998237510444596e-05,3.2319944693881553e-06,,,,,,,,,,,,,,
9,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.997539018513635e-05,9.997539018513635e-05,3.2317684599547647e-06,,,,,,,,,,,,,,
9,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.996723383665085e-05,9.996723383665085e-05,3.231504933864926e-06,,,,,,,,,,,,,,
9,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.995791333494708e-05,9.995791333494708e-05,3.2312036637449637e-06,,,,,,,,,,,,,,
9,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05154646560549736,0.3044542372226715,0.3604317605495453,0.21742627024650574,0.05435933545231819,0.25725677609443665,10.600851058959961,0.3681394159793854,0.20803016424179077,0.05154646560549736,0.005550016183406115,0.2960127592086792,0.3941698372364044,0.24800637364387512
9,2279,,,,,,,,,,,3847.247314453125,3834.6416015625,3847.7490234375,3859.36083984375,3865.653076171875,-2.133218828248573e-07,9.012526512145996,0.036594703793525696,0.0359242707490921,0.036705005913972855,0.03682851046323776,0.0361267626285553,0.8378798961639404,0.9108564257621765,0.8590795397758484,0.8439098000526428,0.949583888053894,0.373521089553833,0.36418473720550537,0.3731650710105896,0.37418004870414734,0.3651083707809448,,,,,,,,,,,,,,,,,
10,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.994742868002504e-05,9.994742868002504e-05,3.2308648769685533e-06,,,,,,,,,,,,,,
10,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.993577987188473e-05,9.993577987188473e-05,3.2304883461620193e-06,,,,,,,,,,,,,,
10,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.992297418648377e-05,9.992297418648377e-05,3.230074298699037e-06,,,,,,,,,,,,,,
10,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.990899707190692e-05,9.990899707190692e-05,3.2296225072059315e-06,,,,,,,,,,,,,,
10,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.989386308006942e-05,9.989386308006942e-05,3.2291331990563776e-06,,,,,,,,,,,,,,
10,2507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051135770976543427,0.28843265771865845,0.35802772641181946,0.2236345261335373,0.05727490037679672,0.27583733201026917,10.58523941040039,0.3276815712451935,0.19587765634059906,0.051135770976543427,0.008885419927537441,0.259968101978302,0.3876177668571472,0.22966507077217102
10,2507,,,,,,,,,,,3834.173828125,3866.77001953125,3858.859619140625,3875.07177734375,3857.771484375,-2.0077354179193208e-07,8.797613143920898,0.035334404557943344,0.03554917499423027,0.036152467131614685,0.03574218228459358,0.03478892892599106,0.814613938331604,0.874609649181366,0.8278430700302124,0.8184395432472229,0.943269670009613,0.36462435126304626,0.3616845905780792,0.3681849539279938,0.36647117137908936,0.3545360267162323,,,,,,,,,,,,,,,,,
11,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.987755765905604e-05,9.987755765905604e-05,3.2286061468767002e-06,,,,,,,,,,,,,,
11,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9860095360782e-05,9.9860095360782e-05,3.22804180541425e-06,,,,,,,,,,,,,,
11,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.984146890928969e-05,9.984146890928969e-05,3.2274397199216764e-06,,,,,,,,,,,,,,
11,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.982168558053672e-05,9.982168558053672e-05,3.2268001177726546e-06,,,,,,,,,,,,,,
11,2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04338951036334038,0.2403712272644043,0.33519598841667175,0.2105531394481659,0.054573822766542435,0.27232855558395386,10.926875114440918,0.29501408338546753,0.16554053127765656,0.04338951036334038,0.005627685692161322,0.2596491277217865,0.2874583899974823,0.2065390795469284
11,2735,,,,,,,,,,,3751.827880859375,3875.314697265625,3850.480224609375,3865.197265625,3857.234619140625,-2.2168745772432885e-07,8.67042064666748,0.03452293574810028,0.03524479269981384,0.03506481647491455,0.03474342077970505,0.03415133059024811,0.8051626086235046,0.8583730459213257,0.8209403157234192,0.8102148771286011,0.9355927109718323,0.35846197605133057,0.3588457703590393,0.359819233417511,0.3593442738056183,0.3492792844772339,,,,,,,,,,,,,,,,,
12,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.980073809856549e-05,9.980073809856549e-05,3.2261229989671847e-06,,,,,,,,,,,,,,
