Run: dataset2_augs
Path: /home/dsa/stenosis/rfdetr_runs/dataset2_augs
Config: T=1 (single-frame)  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  frames=2215
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p35_v9              7   11   0.032  0.005  0.000  0.001   0.071  0.059  0.091  0.160      0  0.0000
  p36_v14            25   25   0.093  0.000  0.000  0.000   0.001  0.001  0.040  0.020      0  0.0000
  p36_v18            14   14   0.295  0.070  0.001  0.010   0.207  0.200  0.214  0.320      0  0.0000
  p36_v20             2    2   0.018  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v22            10   10   0.004  0.000  0.000  0.000   0.001  0.000  0.100  0.000      0  0.0000
  p36_v24            18   18   0.004  0.000  0.000  0.000   0.002  0.001  0.056  0.020      0  0.0000
  p36_v25            28   56   0.278  0.052  0.003  0.013   0.189  0.169  0.214  0.250      1  0.0179
  p36_v3             23   23   0.159  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v4             10   10   0.109  0.000  0.000  0.000   0.002  0.001  0.200  0.000      0  0.0000
  p37_v1             14   14   0.038  0.000  0.000  0.000   0.006  0.003  0.071  0.040      0  0.0000
  p37_v11            11   11   0.596  0.001  0.000  0.000   0.009  0.005  0.091  0.050      0  0.0000
  p37_v3             18   18   0.368  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p37_v5              8    8   0.861  0.500  0.014  0.101   0.615  0.800  0.500  0.370      0  0.0000
  p38_v2              7    7   1.000  0.128  0.000  0.039   0.286  0.286  0.286  0.250      0  0.0000
  p38_v6             16   16   0.496  0.168  0.001  0.048   0.286  0.212  0.438  0.230      1  0.0625
  p38_v8             13   13   0.937  0.722  0.000  0.143   0.786  0.733  0.846  0.460      2  0.1538
  p39_v10            12   32   0.349  0.188  0.002  0.048   0.338  0.308  0.375  0.170      0  0.0000
  p39_v15             6    6   0.808  0.554  0.056  0.184   0.625  0.500  0.833  0.230      0  0.0000
  p39_v16             5   14   0.235  0.174  0.000  0.025   0.308  0.333  0.286  0.170      0  0.0000
  p39_v18            13   13   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p39_v2             18   36   0.479  0.023  0.002  0.007   0.068  0.039  0.250  0.050      4  0.1111
  p39_v3             11   11   0.585  0.296  0.000  0.041   0.385  0.333  0.455  0.230      1  0.0909
  p39_v6             10   10   0.925  0.623  0.140  0.283   0.636  0.583  0.700  0.220      0  0.0000
  p39_v7              5   10   0.823  0.819  0.095  0.217   0.720  0.600  0.900  0.170      0  0.0000
  p40_v1             21   42   0.183  0.107  0.002  0.030   0.185  0.118  0.429  0.100      4  0.0952
  p40_v12             9    9   0.989  0.989  0.014  0.304   0.947  0.900  1.000  0.370      0  0.0000
  p40_v3             18   36   0.052  0.006  0.000  0.001   0.037  0.021  0.167  0.060      3  0.0833
  p40_v4             10   20   0.662  0.614  0.044  0.170   0.645  0.909  0.500  0.420      0  0.0000
  p40_v7              5   10   0.590  0.538  0.010  0.124   0.571  1.000  0.400  0.380      0  0.0000
  p41_v10            21   21   0.481  0.001  0.000  0.000   0.012  0.007  0.048  0.110      0  0.0000
  p41_v13            15   15   0.004  0.000  0.000  0.000   0.002  0.001  0.067  0.020      0  0.0000
  p41_v18            28   56   0.012  0.000  0.000  0.000   0.002  0.001  0.143  0.000      2  0.0357
  p41_v2              8   16   0.041  0.002  0.000  0.000   0.010  0.005  0.250  0.020      1  0.0625
  p41_v20            14   28   0.006  0.000  0.000  0.000   0.003  0.002  0.036  0.030      0  0.0000
  p41_v21            29   29   0.002  0.000  0.000  0.000   0.003  0.002  0.138  0.020      2  0.0690
  p41_v3             14   14   0.007  0.000  0.000  0.000   0.001  0.000  0.071  0.000      0  0.0000
  p41_v4              5    5   0.023  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p41_v6             28   28   0.626  0.284  0.000  0.059   0.448  0.433  0.464  0.250      0  0.0000
  p41_v7             11   22   0.018  0.000  0.000  0.000   0.002  0.001  0.091  0.000      0  0.0000
  p41_v8             16   32   0.013  0.000  0.000  0.000   0.002  0.001  0.062  0.020      0  0.0000
  p42_v10             8    8   0.494  0.387  0.004  0.088   0.462  0.600  0.375  0.250      1  0.1250
  p42_v2             15   15   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
